dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16384,-2,0.002663,24610956.878568,40.632309,1754.098022,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16384,-2,0.001653,39650683.436979,25.220246,1713.537842,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16384,-2,0.001648,39778937.370417,25.138932,1712.425049,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16384,-2,0.001893,34614895.580479,28.889297,1749.155640,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,32768,-2,0.002067,63404960.157425,15.771637,1750.323853,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,32768,-2,0.002102,62359055.719538,16.036163,1689.225952,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,32768,-2,0.002194,59728234.668041,16.742501,1739.146362,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,32768,-2,0.002444,53630423.116199,18.646133,1694.075684,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,65536,-2,0.004114,63727694.399638,15.691765,1709.953857,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,65536,-2,0.004302,60934898.705933,16.410957,1689.197632,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,65536,-2,0.003712,70626284.903099,14.159034,1712.796387,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,65536,-2,0.004132,63436844.847754,15.763710,1746.857666,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,131072,-2,0.039891,13142979.905738,76.086246,1695.286499,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,131072,-2,0.009017,58146741.880061,17.197868,1704.768188,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,131072,-2,0.005127,102266452.472971,9.778378,1690.230835,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,131072,-2,0.004891,107194150.661418,9.328867,1742.628296,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,262144,-2,0.007898,132766966.886614,7.531994,1714.496582,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,262144,-2,0.007811,134251635.059685,7.448699,1695.469238,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,262144,-2,0.006576,159451860.879396,6.271485,1693.889893,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,262144,-2,0.006468,162108300.878376,6.168716,1722.071411,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,524288,-2,0.014618,143465452.954724,6.970319,1693.028442,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,524288,-2,0.010837,193520762.433115,5.167404,1742.840454,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,524288,-2,0.011213,187035001.418865,5.346593,1670.893799,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,524288,-2,0.010685,196270284.221357,5.095015,1698.236450,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1048576,-2,0.020057,209117746.933876,4.781995,1729.445557,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1048576,-2,0.023467,178731766.894952,5.594976,1683.261475,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1048576,-2,0.020705,202573369.018541,4.936483,1701.188721,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1048576,-2,0.019950,210238502.547119,4.756503,1703.122803,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2097152,-2,0.038672,216915207.918475,4.610096,1717.518921,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2097152,-2,0.041118,204012713.740440,4.901655,1723.495728,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2097152,-2,0.079294,105790649.280814,9.452631,1711.223267,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2097152,-2,0.050971,164577371.094173,6.076169,1689.539795,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4194304,-2,0.074688,224631790.665407,4.451730,1671.211670,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4194304,-2,0.074506,225178713.162012,4.440917,1720.921753,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4194304,-2,0.077854,215494662.379293,4.640486,1681.129883,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4194304,-2,0.075836,221230616.298518,4.520170,1703.060425,20.122648,0.000000
