dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,64,-3,0.000120,4271222.767780,234.124993,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,64,-3,0.000113,4529690.776116,220.765622,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,64,-3,0.000113,4522928.250819,221.095703,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,64,-3,0.000124,4126303.604587,242.347654,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,64,-3,0.000127,4044809.004689,247.230462,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,128,-3,0.000134,7645671.254994,130.792963,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,128,-3,0.000151,6761664.253460,147.892584,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,128,-3,0.000149,6884403.625079,145.255864,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,128,-3,0.000125,8178129.968755,122.277343,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,128,-3,0.000125,8222191.919529,121.622070,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,128,-3,0.000127,8052720.495701,124.181635,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,128,-3,0.000154,6631608.883413,150.792970,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,128,-3,0.000120,8512619.259613,117.472657,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,256,-3,0.000159,12859313.461626,77.764649,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,256,-3,0.000152,13431974.016985,74.449221,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,256,-3,0.000161,12684019.911774,78.839359,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,256,-3,0.000165,12390194.711806,80.708982,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,256,-3,0.000156,13116182.401450,76.241697,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,256,-3,0.000155,13187973.469940,75.826661,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,256,-3,0.000159,12858425.586067,77.770019,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,256,-3,0.000158,12996325.888001,76.944823,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,512,-3,0.000232,17623041.311049,56.743895,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,512,-3,0.000240,17049333.096315,58.653321,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,512,-3,0.000235,17454744.315640,57.291014,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,512,-3,0.000228,17965464.121967,55.662353,0.000000,268.435456,0.000000
