dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.037085,57907642104.029480,0.017269,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.036683,58541295084.060707,0.017082,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.036385,59021703614.390251,0.016943,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.036863,58255442444.540337,0.017166,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.039087,54941130509.990952,0.018201,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.038233,56168576726.492882,0.017804,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.038258,56131243664.987328,0.017815,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.038016,56488978494.280563,0.017703,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.063830,33643877801.105526,0.029723,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.063401,33871495969.313423,0.029523,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.062425,34401236539.323433,0.029069,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.062712,34243660218.511734,0.029202,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.063323,33913095204.166370,0.029487,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.057056,37638375341.938736,0.026569,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.061567,34880238211.774208,0.028670,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.057024,37659601156.815269,0.026554,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.063154,34003728627.168095,0.029409,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.062515,34351314077.230816,0.029111,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.062309,34465032998.538445,0.029015,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.057172,37561631300.635529,0.026623,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.061161,35111839805.753265,0.028480,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.057115,37599546028.360992,0.026596,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.061885,34701250436.119583,0.028817,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,128,0,67108864,-1,0.057233,37521872158.702705,0.026651,0.000000,0.000512,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.118581,18109832982.942173,0.055219,0.000000,0.001024,0.000000
