dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015302,70171522727.318710,0.014251,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015349,69955916823.509262,0.014295,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015287,70237803352.763611,0.014237,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015282,70261981097.386520,0.014232,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015362,69894028305.787857,0.014307,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015380,69815677471.176865,0.014323,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015376,69833570247.474335,0.014320,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015388,69778522544.719498,0.014331,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015322,70079517250.033463,0.014270,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015385,69790356597.363342,0.014329,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015305,70157722901.748581,0.014254,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015526,69156104845.959747,0.014460,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015408,69687673478.321594,0.014350,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015884,67600945971.572533,0.014793,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015748,68182737432.830040,0.014666,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015539,69100431667.076675,0.014472,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015366,69877422915.130920,0.014311,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015474,69391195708.125778,0.014411,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015766,68106835300.468521,0.014683,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015560,69006643604.138046,0.014491,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,16,0.015323,70075303842.822189,0.014270,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,8,0.015535,69115778782.014252,0.014468,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,8,0.015372,69849058451.651413,0.014317,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,8,0.015351,69947394190.198654,0.014296,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,8,0.015350,69950627418.015457,0.014296,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,8,0.015335,70019460849.648132,0.014282,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,8,0.015314,70116626699.498444,0.014262,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,8,0.015537,69108706724.428345,0.014470,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,8,0.015347,69964898040.561630,0.014293,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,8,0.015398,69733247658.440720,0.014340,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,16,0,67108864,8,0.015396,69741990345.922775,0.014339,0.000000,0.000064,0.000000
